Nome: RIO CLARO
Codigo Estacao: A626
Latitude: -22.653579
Longitude: -44.040916
Altitude: 516
Situacao: Operante
Data Inicial: 2016-06-02
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-06-30;5;null;964,277629;15,597736;5,4;1,454119;
2016-07-31;2;3,2;961,565382;17,324587;7,2;1,42191;
2016-08-31;6;20,4;960,192348;18,375824;7,3;1,78295;
2016-09-30;10;24,2;959,716081;19,801159;7,2;1,997953;
2016-10-31;16;57,4;957,242278;21,072197;7,7;2,07841;
2016-11-30;19;206,6;955,897367;21,426812;7,2;1,908213;
2016-12-31;18;251,4;955,307708;23,274544;7,1;1,788792;
2017-01-31;19;287,2;955,618817;24,207661;10,4;null;
2017-02-28;10;107,2;956,210474;24,418709;null;null;
2017-03-31;17;293,2;957,0359;22,469136;null;null;
2017-04-30;19;84,4;958,654363;20,962124;4,8;1,58178;
2017-05-31;15;61,4;959,482991;18,848255;6;1,464466;
2017-06-30;11;null;961,657318;18,126263;5,4;1,393633;
2017-07-31;6;10,8;966,434812;16,493548;5,7;1,595699;
2017-08-31;6;null;960,869787;17,080514;6,4;1,527435;
2017-09-30;3;null;961,538942;20,124415;6,5;1,880026;
2017-10-31;14;97,4;956,814394;22,266471;5,8;1,955425;
2017-11-30;5;null;null;null;6,2;null;
2017-12-31;16;100,6;954,627004;23,080655;7,5;1,708311;
2018-01-31;21;404,6;955,258602;23,634812;null;null;
2018-02-28;18;87,4;955,359375;22,870387;null;null;
2018-03-31;15;190,4;955,12379;23,883199;5,2;1,51371;
2018-04-30;9;55,4;959,534445;21,572083;4,5;1,450972;
2018-05-31;10;25,2;960,765188;19,172043;6,9;1,484409;
2018-06-30;10;31;961,340278;18,443194;4,7;1,232083;
2018-07-31;8;19,4;961,331048;18,241532;4,9;1,293414;
2018-08-31;10;58,2;961,58871;17,917204;5;1,570027;
2018-09-30;12;62,2;957,759722;20,406667;6,1;1,8;
2018-10-31;23;77,6;956,673656;20,999328;6,6;1,708602;
2018-11-30;20;131,4;956,792639;21,831806;7,2;1,923889;
2018-12-31;16;73,4;955,921909;23,44879;5,7;1,708333;
2019-01-31;15;192;957,055107;25,490726;8,6;1,665995;
2019-02-28;21;192,8;955,304846;23,85306;5,8;1,569002;
2019-03-31;24;228,6;957,390726;23,16129;4,7;1,442876;
2019-04-30;15;124,6;956,847222;22,722361;7,3;1,449722;
2019-05-31;13;156,8;958,070459;20,764317;4,6;1,263897;
2019-06-30;12;35,8;962,224028;18,807778;6;1,262778;
2019-07-31;8;15,6;961,806288;16,921079;6;1,553763;
2019-08-31;9;35,4;963,772361;17,636238;7,2;1,59119;
2019-09-30;12;92,6;959,75974;20,296981;5,7;1,688382;
2019-10-31;11;122,6;957,298925;22,061425;5,6;1,725403;
2019-11-30;20;117,4;955,872517;21,66879;6,4;1,823678;
2019-12-31;14;163;955,562842;23,017419;5,7;1,688389;
2020-01-31;17;219,4;954,276923;23,44138;6,4;1,478506;
2020-02-29;26;333,6;956,171008;22,868497;null;null;
2020-03-31;13;231,8;957,697521;21,856473;null;null;
2020-04-30;4;5,8;959,083056;20,511528;null;null;
2020-05-31;11;43;959,880645;17,859005;4,2;1,358737;
2020-06-30;7;null;960,975667;18,729;6,9;1,418797;
2020-07-31;1;null;960,795407;18,403704;5,4;null;
2020-08-31;6;18,4;962,007393;18,281855;7,8;1,672581;
2020-09-30;5;null;959,229212;22,133946;7,1;1,869595;
2020-10-31;7;null;null;21,787328;5,7;null;
2020-11-30;15;111,4;956,446854;21,547994;5,4;1,756271;
2020-12-31;25;243,6;955,257475;23,136274;5,1;1,467983;
2021-01-31;11;null;955,292653;25,002329;5,9;1,771136;
2021-02-28;18;158,2;954,522321;23,007738;4,8;1,464583;
2021-03-31;11;90,2;955,776835;23,580937;5,3;null;
2021-04-30;12;37,2;958,319444;20,575;null;null;
2021-05-31;9;72,2;959,395027;19,125806;null;null;
2021-06-30;13;33,6;960,819444;17,78625;5,2;1,383046;
2021-07-31;9;15,6;963,014382;15,749328;4,4;1,37621;
2021-08-31;13;41,6;962,223387;18,40121;5;1,550806;
2021-09-30;11;32,4;958,854167;21,013056;7,8;1,772917;
2021-10-31;23;169,6;957,71465;20,125538;7;1,830376;
2021-11-30;11;132,2;955,329306;20,525694;6,2;1,725;
2021-12-31;26;383,8;954,347715;21,71371;6,8;1,62043;
2022-01-31;24;194,8;954,565995;23,770833;5,2;1,634005;
2022-02-28;20;209,8;955,409375;23,076637;5,9;1,386756;
2022-03-31;9;156;956,128828;24,195062;4,7;1,455365;
2022-04-30;10;122,6;957,602597;21,355797;5,2;1,396473;
2022-05-31;9;18,4;959,102285;18,317204;6,9;1,376478;
2022-06-30;12;9,6;960,011944;17,015139;4,4;1,256806;
2022-07-31;8;9,2;961,212903;18,263172;4,9;1,359005;
2022-08-31;8;20,6;961,449328;17,925672;6,1;1,698253;
2022-09-30;13;117,8;959,745;17,900417;5,9;1,700556;
2022-10-31;13;73,4;957,174866;21,521505;6,1;1,737365;
2022-11-30;21;154,6;956,673889;19,990278;6,4;1,643889;
2022-12-31;23;198,4;954,441667;21,786693;5,5;1,652586;
2023-01-31;24;275,4;955,1518;22,844898;null;null;
2023-02-28;25;233,8;955,84023;23,768789;null;null;
2023-03-31;15;198,4;957,357521;23,372505;null;null;
2023-04-30;13;121,4;957,275079;20,851147;null;null;
2023-05-31;11;32;960,228654;18,721087;null;null;
2023-06-30;20;16,6;961,799167;17,310139;null;null;
2023-07-31;11;20,4;962,073877;17,822506;4,4;null;
2023-08-31;8;null;null;null;6,7;null;
2023-09-30;9;24,2;958,448406;22,136226;null;null;
2023-10-31;10;null;null;null;null;null;

