Nome: SERAFINA CORREA
Codigo Estacao: A894
Latitude: -28.70472222
Longitude: -51.87083332
Altitude: 545
Situacao: Operante
Data Inicial: 2016-03-31
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-03-31;null;null;null;null;null;null;
2016-04-30;13;null;null;19,213826;6,4;null;
2016-05-31;11;46,4;962,167304;12,852671;5,9;1,080996;
2016-06-30;3;11;964,482083;9,166667;5,5;,963195;
2016-07-31;9;170,6;961,39543;12,226747;6,6;1,341129;
2016-08-31;15;129,4;960,519086;13,909274;5,9;1,191129;
2016-09-30;9;54;961,3275;14,282222;6,5;1,48537;
2016-10-31;14;321,2;957,746505;17,811828;6,7;1,53639;
2016-11-30;10;68,8;957,254583;19,421111;5,6;1,345731;
2016-12-31;21;175,2;955,447312;22,123522;5,4;1,400941;
2017-01-31;21;135;956,416532;22,777823;8;1,316263;
2017-02-28;19;156,8;956,196131;23,204613;4,9;1,267202;
2017-03-31;14;204;958,46707;20,820968;4,9;1,216532;
2017-04-30;16;212;959,869167;17,351111;5,1;1,1925;
2017-05-31;23;345;959,900672;16,182392;5,9;1,236425;
2017-06-30;20;166;961,586944;13,575833;5;1,22;
2017-07-31;13;29,6;966,246102;13,144758;5,3;1,166532;
2017-08-31;18;103,8;960,723656;15,043548;5,2;1,36707;
2017-09-30;12;131,4;960,9;19,353194;6,3;1,30128;
2017-10-31;21;271,2;956,620296;18,327823;9;1,552349;
2017-11-30;13;221,6;955,84625;18,629444;5,7;1,350694;
2017-12-31;10;120;955,05749;22,287809;5,8;1,338935;
2018-01-31;16;187;955,78894;22,149722;5,6;1,296179;
2018-02-28;11;83;956,90372;21,025149;4;1,064435;
2018-03-31;13;125;956,250519;20,492074;5,6;1,115475;
2018-04-30;13;41,4;960,670552;20,134359;4,6;,972836;
2018-05-31;11;null;null;15,617071;5,1;null;
2018-06-30;15;null;962,2941;12,032144;11,1;1,186405;
2018-07-31;18;186,4;961,799597;13,184005;6,2;1,311962;
2018-08-31;18;167,4;962,434274;11,93871;6,1;1,258064;
2018-09-30;17;220,8;958,270139;17,284722;4,3;1,265833;
2018-10-31;15;247,8;957,723521;18,241935;6;1,384543;
2018-11-30;13;224;956,68;21,061111;6,5;1,459408;
2018-12-31;13;177;956,618011;21,609946;6,1;1,316364;
2019-01-31;19;175,2;957,178629;24,055376;7,3;1,341617;
2019-02-28;18;196;956,799553;21,313393;6,1;1,090657;
2019-03-31;17;154,6;959,052419;19,883602;4,7;1,10336;
2019-04-30;18;153,2;958,298611;19,281528;6,6;,972222;
2019-05-31;19;208,6;959,281183;16,973253;4,4;1,063575;
2019-06-30;15;34,6;961,908056;15,460139;6,4;1,079143;
2019-07-31;17;120,2;962,399597;11,911022;5,1;1,142012;
2019-08-31;17;72,6;963,966263;13,29422;5,6;1,336425;
2019-09-30;17;74,8;959,93125;15,685417;5,4;1,26;
2019-10-31;17;318,4;958,098925;18,958871;6,8;1,323925;
2019-11-30;16;192,4;956,21375;21,091528;6,1;1,384541;
2019-12-31;9;48,4;955,64207;22,938979;6,8;1,480429;
2020-01-31;12;153;955,370027;22,800134;4,3;1,294892;
2020-02-29;10;89;957,533477;22,171839;7;1,300431;
2020-03-31;5;10,4;958,67836;22,181989;4,7;1,126613;
2020-04-30;11;43,8;960,6675;16,889722;5,8;1,188333;
2020-05-31;19;131,4;960,568011;14,033602;6,2;1,303898;
2020-06-30;18;184,2;959,828611;14,681806;6,6;1,382778;
2020-07-31;24;500,2;960,766263;11,918952;7,5;1,24879;
2020-08-31;14;115,6;961,766129;13,953226;5;1,118817;
2020-09-30;17;102,4;959,416111;16,703611;6;1,262355;
2020-10-31;10;30,2;957,485484;19,157796;5,4;1,50121;
2020-11-30;8;86;957,87125;20,113333;4,6;1,362639;
2020-12-31;16;118,8;955,560215;22,071505;5,3;1,36056;
2021-01-31;20;381,4;955,694221;22,452285;5,8;1,318952;
2021-02-28;17;92,8;956,196429;21,005357;4,5;1,105208;
2021-03-31;24;126;956,876747;20,927554;4,3;1,030376;
2021-04-30;17;13,2;960,736945;17,93875;5,1;1,051944;
2021-05-31;25;223,8;960,821488;12,592695;5,8;1,095956;
2021-06-30;10;null;962,192464;null;6;1,17257;
2021-07-31;19;41,4;963,725941;10,623118;6,7;1,141263;
2021-08-31;17;112,4;962,04086;15,090591;6,2;1,20336;
2021-09-30;18;186,8;958,784524;17,428549;5,4;1,431726;
2021-10-31;17;191,4;958,218817;17,84879;5;1,290995;
2021-11-30;11;52,2;955,918056;20,591667;6,2;1,432222;
2021-12-31;7;78,4;955,397522;22,44401;9,6;1,333041;
2022-01-31;17;103,6;955,177016;24,438172;5,1;1,363219;
2022-02-28;14;107,6;955,858929;22,554911;6,1;1,173066;
2022-03-31;20;235,4;957,234812;20,525;5,6;1,297849;
2022-04-30;24;165;958,919583;17,355139;5,4;1,107361;
2022-05-31;27;315,4;960,649138;12,984195;6,6;1,152155;
2022-06-30;19;null;961,032531;10,736082;6;1,041592;
2022-07-31;20;91,4;959,629032;15,510753;8,7;1,342608;
2022-08-31;23;129;962,011694;13,261559;6,1;1,227285;
2022-09-30;16;74,4;960,583056;14,50375;6,8;1,394306;
2022-10-31;15;83,8;957,804078;17,075031;6,4;1,42808;
2022-11-30;11;81;959,282702;18,602992;6,5;1,422866;
2022-12-31;15;160,2;954,939919;21,980242;6,2;1,220699;
2023-01-31;14;83,4;955,641935;23,560887;7;1,242473;
2023-02-28;18;86,8;956,252083;21,665923;5,2;1,107292;
2023-03-31;18;180,4;957,762769;22,437366;4,7;1,110618;
2023-04-30;21;85,2;958,763472;17,493472;6,3;1,060417;
2023-05-31;27;167,8;961,406586;15,276344;5,3;,841667;
2023-06-30;22;177,8;962,358472;13,507361;4,6;1,010318;
2023-07-31;17;225,8;961,996716;13,90592;7,1;1,209257;
2023-08-31;22;69,6;959,650719;14,880131;6,9;1,204997;
2023-09-30;23;539,4;957,345417;17,430972;5,6;1,355139;
2023-10-31;11;null;null;null;null;null;

