Nome: UBERABA
Codigo Estacao: A568
Latitude: -19.71
Longitude: -47.96194444
Altitude: 778
Situacao: Operante
Data Inicial: 2017-05-18
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-05-31;2;null;null;null;null;null;
2017-06-30;2;22;930,595722;19,225144;7,4;2,522583;
2017-07-31;0;0;933,765323;17,622446;8,9;2,964382;
2017-08-31;null;0;928,821571;21,731846;8;2,818797;
2017-09-30;1;null;929,374298;23,72766;7,8;3,456241;
2017-10-31;13;110;925,7088;24,982293;8,5;2,876462;
2017-11-30;19;399,2;924,333374;23,363359;8,3;2,57451;
2017-12-31;23;284,4;924,34582;23,497252;8,4;2,066441;
2018-01-31;24;419,6;925,508357;23,54325;null;null;
2018-02-28;16;267,6;924,934943;23,466897;5,7;null;
2018-03-31;10;54,2;925,298387;24,557392;6,6;2,076185;
2018-04-30;11;121,2;928,348913;22,087355;6,4;2,132035;
2018-05-31;4;60,8;929,645257;19,995481;6,9;2,39241;
2018-06-30;null;0;930,377512;20,61246;6,9;2,300971;
2018-07-31;1;,2;930,430376;19,839651;7,7;2,564113;
2018-08-31;7;34,6;929,797312;20,855645;8,1;2,484005;
2018-09-30;8;63,4;926,44189;23,164094;10;2,520211;
2018-10-31;14;284,6;925,450958;24,313394;8,3;2,341263;
2018-11-30;22;363,2;925,19872;22,930344;7,4;2,756969;
2018-12-31;21;214,8;925,8625;24,077016;8,1;2,012769;
2019-01-31;17;66,6;927,555224;24,9946;6,2;2,196196;
2019-02-28;15;401,4;925,658185;23,933929;11,2;2,007738;
2019-03-31;18;252,4;927,05336;23,397312;7,7;1,988441;
2019-04-30;10;195,8;926,906636;23,408642;5,4;1,782253;
2019-05-31;6;29,2;927,96371;21,553629;6,3;2,033333;
2019-06-30;0;0;931,249167;19,575833;7,4;2,578611;
2019-07-31;2;1,6;930,35253;19,320833;7,3;2,718006;
2019-08-31;3;40,2;931,156183;21,20121;7,5;2,765591;
2019-09-30;3;57,2;927,443194;25,509028;9,8;2,725278;
2019-10-31;10;140,2;925,7634;25,080139;9,5;2,533702;
2019-11-30;16;167,8;924,467778;24,212778;7;2,259167;
2019-12-31;24;259,2;925,251414;23,72382;10,8;2,120313;
2020-01-31;23;510,4;924,48414;23,903898;9,5;1,875403;
2020-02-29;24;330;926,021839;23,353448;8,5;2,156753;
2020-03-31;11;108;926,343177;23,544245;7,4;2,243348;
2020-04-30;6;53,2;927,987083;22,480278;6,5;1,980139;
2020-05-31;1;10;929,579435;18,646505;6,1;2,166398;
2020-06-30;0;0;930,2025;20,035833;7,4;2,624583;
2020-07-31;0;0;929,936425;20,089113;null;null;
2020-08-31;0;0;929,72379;21,061425;null;null;
2020-09-30;null;0;927,828377;25,253017;null;null;
2020-10-31;3;8,4;925,049951;25,563172;8,4;2,637818;
2020-11-30;null;null;925,402991;24,000649;9,3;2,482543;
2020-12-31;23;null;925,156519;23,437725;7,9;2,209727;
2021-01-31;11;null;925,496833;24,446685;7;2,005824;
2021-02-28;23;264;924,349411;23,217986;6;2,15066;
2021-03-31;15;137;926,035753;23,754932;6,1;1,954377;
2021-04-30;6;26,8;927,109637;22,060299;7,8;1,995873;
2021-05-31;1;null;928,898969;21,044269;7,9;2,003503;
2021-06-30;2;null;929,797801;null;6,9;2,195562;
2021-07-31;null;null;931,174246;null;7;2,421447;
2021-08-31;null;null;null;null;8,8;null;
2021-09-30;null;null;926,831603;null;9,5;2,772493;
2021-10-31;null;null;925,57737;null;8,2;2,591377;
2021-11-30;10;null;923,926274;23,963571;7,4;2,269302;
2021-12-31;18;138,6;923,204308;23,760414;7,5;2,320056;
2022-01-31;25;338,8;924,76782;23,285205;7,4;2,169779;
2022-02-28;18;156,4;925,239932;23,486526;6,2;2,112818;
2022-03-31;14;156,2;925,972234;24,178663;7,6;2,268533;
2022-04-30;8;40,4;926,763611;23,275;7,5;2,060833;
2022-05-31;6;57,6;928,969086;18,940054;7,1;2,419086;
2022-06-30;6;10,2;929,143472;19,377639;6,7;2,209861;
2022-07-31;null;0;930,06096;20,286406;7,2;3,015192;
2022-08-31;1;11,6;929,264329;21,298101;8,8;2,836448;
2022-09-30;9;76;927,160389;23,288904;8,6;2,806109;
2022-10-31;13;135,2;926,003204;24,182516;8,2;2,65094;
2022-11-30;12;null;924,728738;22,75454;7,4;2,374913;
2022-12-31;20;295,6;923,856248;23,050252;6,7;2,519005;
2023-01-31;24;393;925,385191;22,760119;7,7;2,196153;
2023-02-28;19;null;926,368119;23,59936;null;null;
2023-03-31;14;null;926,903453;23,733656;5,7;null;
2023-04-30;15;90,6;926,595199;22,148478;null;null;
2023-05-31;1;25,2;929,020179;19,752609;null;null;
2023-06-30;6;3,8;930,965278;18,364583;null;null;
2023-07-31;3;20,2;930,724503;20,156831;null;null;
2023-08-31;5;23,2;928,43172;22,45793;null;null;
2023-09-30;6;35,8;926,977689;25,626302;null;null;
2023-10-31;7;null;null;null;null;null;

