Nome: TIANGUA
Codigo Estacao: A368
Latitude: -3.73222221
Longitude: -41.01194444
Altitude: 756
Situacao: Operante
Data Inicial: 2018-03-14
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;11;null;null;22,804948;7,6;null;
2018-04-30;21;329,6;928,549306;22,20875;null;null;
2018-05-31;13;69,6;929,183602;22,396774;null;null;
2018-06-30;7;12,6;930,28;21,67625;null;null;
2018-07-31;6;23,6;930,100538;22,282392;null;null;
2018-08-31;0;0;930,4125;22,853763;null;null;
2018-09-30;0;0;928,194583;23,724861;10,9;null;
2018-10-31;3;2,4;927,815054;23,986694;10,4;4,240054;
2018-11-30;2;9,8;926,970139;24,485139;11,1;4,530139;
2018-12-31;13;181,2;928,509678;22,749462;8,1;3,186156;
2019-01-31;15;130,4;928,898387;22,757796;9,1;3,399059;
2019-02-28;21;289,4;928,22753;22,78125;8,2;3,200149;
2019-03-31;29;284,2;928,756317;22,530645;7,9;2,915323;
2019-04-30;25;249,4;928,570278;22,635417;7,6;2,84625;
2019-05-31;22;167,2;928,520296;22,832661;8,6;3,4625;
2019-06-30;12;51,2;930,331111;22,024861;9,1;3,124722;
2019-07-31;9;18,4;930,267473;22,225672;9,2;3,381183;
2019-08-31;2;1,2;930,989516;22,719086;9;3,81828;
2019-09-30;0;0;929,376667;23,656389;9,4;4,224028;
2019-10-31;1;,6;927,92379;23,830376;9,4;4,238441;
2019-11-30;1;42,2;926,837917;24,292222;9,4;3,979861;
2019-12-31;2;13;927,251478;24,407527;9,3;4,010618;
2020-01-31;23;187,2;928,419355;22,931452;7,3;2,971505;
2020-02-29;25;180,8;928,575862;22,865948;7,5;3,1;
2020-03-31;23;265,4;928,44207;23,054704;7,2;2,327285;
2020-04-30;17;157,6;928,9275;23,087222;8;2,768333;
2020-05-31;14;82,6;929,697715;22,885484;7,4;2,888844;
2020-06-30;6;12;929,778194;22,512778;10,5;3,166667;
2020-07-31;3;16,6;929,58629;22,221909;8,8;3,184812;
2020-08-31;2;16,6;929,443414;22,769624;8,8;3,369624;
2020-09-30;1;,4;928,992083;23,784861;8,6;3,908194;
2020-10-31;0;0;928,084274;24,286828;9,5;4,204704;
2020-11-30;8;34,6;927,530556;24,199583;9,2;3,576389;
2020-12-31;6;32,8;927,522177;24,095968;8,5;3,898253;
2021-01-31;14;96;927,353495;23,366398;8,3;3,532796;
2021-02-28;16;208,6;927,520982;22,871429;8,3;3,33869;
2021-03-31;24;264,2;927,831989;22,488441;8,1;3,192608;
2021-04-30;20;252,8;927,948889;22,776944;8,8;3,24625;
2021-05-31;5;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;4;null;929,823397;23,106891;8,6;3,556571;
2022-09-30;1;1,2;929,190833;23,759028;9,8;4,065694;
2022-10-31;0;0;928,044758;24,297312;9,8;4,486425;
2022-11-30;9;66,6;927,718056;23,62625;8,7;3,172917;
2022-12-31;8;51,2;927,501882;23,490054;9,4;null;
2023-01-31;16;151,4;928,330242;22,692204;null;null;
2023-02-28;24;131,8;928,208036;22,652827;null;null;
2023-03-31;22;281,4;928,550806;22,280914;8,2;2,425347;
2023-04-30;25;232;928,100417;22,652917;6,9;2,659722;
2023-05-31;6;19,2;929,344086;23,281317;7,6;3,117607;
2023-06-30;9;16,4;930,491667;22,741667;8,4;2,955417;
2023-07-31;3;3,6;930,846237;23,201479;8,8;3,493683;
2023-08-31;2;1,6;930,011694;23,521102;8,9;3,446102;
2023-09-30;1;,2;929,275556;24,303889;9,4;4,001111;
2023-10-31;null;null;null;null;null;null;

