Nome: NOVA PORTEIRINHA (JANAUBA)
Codigo Estacao: A563
Latitude: -15.80277777
Longitude: -43.29694444
Altitude: 532
Situacao: Operante
Data Inicial: 2016-11-18
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-11-30;1;null;null;null;null;null;
2016-12-31;6;111,2;952,150567;26,492169;8,7;2,26676;
2017-01-31;4;36,4;951,85336;28,528629;8,2;2,454167;
2017-02-28;7;68;952,48379;26,4417;7,6;2,324651;
2017-03-31;8;98,8;952,053822;27,360238;8,1;2,73242;
2017-04-30;3;1,6;953,325972;26,73625;8,9;2,929306;
2017-05-31;3;12,6;954,735297;25,059222;8,4;2,827489;
2017-06-30;null;0;956,689528;24,025144;8,6;2,929861;
2017-07-31;0;0;960,471909;21,85457;10,1;null;
2017-08-31;null;0;956,122945;23,921397;9,2;3,339466;
2017-09-30;null;null;957,116902;25,256309;9,4;3,627821;
2017-10-31;1;,4;952,587369;28,45664;8,3;2,894755;
2017-11-30;13;119,4;951,196758;26,21364;9,1;2,457565;
2017-12-31;14;276;951,313863;25,408804;6,8;2,00919;
2018-01-31;7;37,2;951,88667;26,868414;6,5;1,907726;
2018-02-28;15;260;951,737539;25,023823;7,3;1,881955;
2018-03-31;9;46,4;951,873314;25,523431;7,1;1,821337;
2018-04-30;1;,4;954,257476;25,324481;8,3;3,35381;
2018-05-31;2;14,4;955,724802;24,439042;9,8;3,460883;
2018-06-30;1;,4;957,012167;23,836912;8,5;2,948792;
2018-07-31;0;0;957,145699;23,31371;8,6;2,675538;
2018-08-31;0;0;956,135349;25,488575;8;2,759409;
2018-09-30;1;,2;953,036433;26,77976;9,1;2,595892;
2018-10-31;6;null;null;null;7;null;
2018-11-30;13;170,8;952,195026;25,611187;7,3;2,226108;
2018-12-31;16;146;952,973749;24,563949;7,6;1,713289;
2019-01-31;0;0;953,703413;27,875444;6,5;2,402963;
2019-02-28;14;141,6;951,930383;27,163723;6,8;1,820698;
2019-03-31;14;146;952,63188;27,207873;8,1;2,23185;
2019-04-30;7;48,8;952,970362;25,905537;6;1,61788;
2019-05-31;3;14,6;953,710215;26,013172;8,7;2,358468;
2019-06-30;0;0;957,492796;24,084571;10,2;3,402862;
2019-07-31;0;0;957,179301;22,787634;10,9;3,326882;
2019-08-31;null;0;958,217693;24,192222;8,9;3,309088;
2019-09-30;0;0;954,824167;26,702361;null;null;
2019-10-31;7;71,2;952,282153;28,033322;7,7;null;
2019-11-30;6;60,2;950,575574;28,325272;7,2;2,138536;
2019-12-31;7;39;951,342473;28,061559;7;2,317742;
2020-01-31;17;182,6;951,802384;25,974141;6,5;1,80713;
2020-02-29;11;222,8;952,660126;26,323301;6,2;1,479922;
2020-03-31;16;270,2;953,066802;24,909354;7,7;2,133774;
2020-04-30;10;23;954,353037;24,690278;7,9;2,533031;
2020-05-31;4;5;955,898931;22,885139;8;2,377484;
2020-06-30;null;null;null;null;6,9;null;
2020-07-31;null;null;null;null;6,1;null;
2020-08-31;null;null;null;null;7,8;null;
2020-09-30;null;null;954,525481;26,901923;7,3;2,414263;
2020-10-31;11;206,2;951,872177;27,502688;7,5;2,387366;
2020-11-30;11;75,8;952,518056;24,76625;8,2;2,052083;
2020-12-31;10;86,4;951,828898;25,987366;5,7;1,609005;
2021-01-31;8;62,6;951,771371;26,978898;5,4;1,929704;
2021-02-28;15;305,6;951,551935;24,854762;5,8;1,575595;
2021-03-31;2;37,8;952,406989;25,636828;6,8;1,913575;
2021-04-30;4;39,2;953,073611;24,930833;8,6;2,476528;
2021-05-31;0;0;955,079839;24,006989;8,1;null;
2021-06-30;null;null;null;23,831356;null;null;
2021-07-31;null;null;null;null;8,3;null;
2021-08-31;null;null;null;null;8,5;null;
2021-09-30;null;null;null;null;8,5;null;
2021-10-31;null;null;null;null;6,5;null;
2021-11-30;1;null;null;null;6,5;null;
2021-12-31;21;407;950,746546;24,292136;9,8;1,666252;
2022-01-31;12;129,4;952,350701;25,111226;6,5;1,626105;
2022-02-28;9;null;952,047955;25,245094;5,1;1,483302;
2022-03-31;null;0;952,353285;26,373138;7;2,159164;
2022-04-30;4;33,4;952,949783;25,785779;6,5;2,296787;
2022-05-31;0;0;955,20537;23,073165;null;null;
2022-06-30;0;0;955,527421;22,191473;null;null;
2022-07-31;0;0;957,199289;22,678973;null;null;
2022-08-31;null;0;956,369419;23,712507;8,3;2,816892;
2022-09-30;3;6,2;954,253922;25,431186;7,9;2,572493;
2022-10-31;2;18,4;952,748754;27,749332;7,2;2,313269;
