Nome: MACAUBAS
Codigo Estacao: A454
Latitude: -13.03888888
Longitude: -42.61722221
Altitude: 574
Situacao: Desativada
Data Inicial: 2016-04-06
Data Final: 2019-04-21
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-04-30;null;null;null;null;null;null;
2016-05-31;null;null;null;null;null;null;
2016-06-30;2;13,2;952,290741;24,448611;7,1;2,46821;
2016-07-31;0;0;951,966935;23,358333;6,5;2,278226;
2016-08-31;0;0;950,920968;25,281989;6,5;2,369086;
2016-09-30;2;6;950,01125;25,876667;6,5;2,320417;
2016-10-31;7;40,4;947,669741;27,311618;9;2,311413;
2016-11-30;12;137,6;947,047639;26,516389;7,2;2,245139;
2016-12-31;8;36;947,264919;26,084677;6,5;2,142204;
2017-01-31;2;null;null;null;8;null;
2017-02-28;null;null;null;null;null;null;
2017-03-31;4;70;947,059946;27,766129;8;2,142204;
2017-04-30;7;120;948,418472;25,909583;6,1;2,0825;
2017-05-31;3;32;949,540591;25,169624;6;2,25914;
2017-06-30;0;0;951,340278;23,927639;7,3;2,544028;
2017-07-31;1;,2;954,353495;22,025538;8;3,339113;
2017-08-31;0;0;951,002957;23,976747;7,7;2,576344;
2017-09-30;0;0;951,887222;24,694306;8,1;2,879722;
2017-10-31;1;1,2;947,892608;27,973656;7,9;2,633602;
2017-11-30;11;null;null;25,784921;7,4;null;
2017-12-31;14;101;946,618056;26,099722;6,5;1,8525;
2018-01-31;11;88,4;947,076882;27,010081;10,2;2,220968;
2018-02-28;12;127,2;946,978125;25,229018;6;1,828571;
2018-03-31;12;183;947,26371;25,229167;5,2;1,748118;
2018-04-30;6;18,8;948,923195;25,048195;6,2;2,142361;
2018-05-31;5;6,6;950,222312;24,904704;7,8;2,547177;
2018-06-30;1;3,2;951,913056;23,577917;6,5;2,242917;
2018-07-31;1;,2;951,954032;22,72957;6,2;2,080645;
2018-08-31;1;,4;951,213441;25,435484;6,5;2,354839;
2018-09-30;0;0;948,33;27,124861;6,4;2,347083;
2018-10-31;6;50,2;947,010215;28,251882;7,5;2,423253;
2018-11-30;12;84,8;947,060278;26,472361;8;2,31375;
2018-12-31;14;147,2;948,336828;24,997446;6,3;1,925538;
2019-01-31;2;4,8;948,638172;27,344624;9,7;2,179167;
2019-02-28;13;null;947,245139;27,171007;8,6;1,969965;
2019-03-31;null;null;null;null;null;null;
2019-04-30;null;null;null;null;null;null;

