Nome: MARILANDIA
Codigo Estacao: A632
Latitude: -19.40722222
Longitude: -40.53972221
Altitude: 95
Situacao: Operante
Data Inicial: 2017-03-21
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2017-03-31;4;null;null;null;null;null;
2017-04-30;4;6,6;1003,784583;24,864722;5,6;1,510417;
2017-05-31;7;53,6;1005,59872;22,502548;5,2;1,193806;
2017-06-30;11;84,6;1007,749045;21,942778;7,4;1,179948;
2017-07-31;23;78;1012,747984;19,31707;7,3;1,29664;
2017-08-31;8;6,2;1008,112818;19,965027;6,3;1,307348;
2017-09-30;15;17,2;1009,927352;21,448649;5,3;1,367151;
2017-10-31;10;41,4;1004,030951;25,226967;7,2;1,704216;
2017-11-30;17;128,6;1001,826749;24,349919;7,1;1,800898;
2017-12-31;20;223,4;1000,606587;25,183593;6;1,382169;
2018-01-31;11;130,8;1001,462903;26,977688;5,2;1,40121;
2018-02-28;15;230;1000,969196;25,630804;7,7;1,288095;
2018-03-31;15;133,2;1000,643817;26,349401;5,1;1,22968;
2018-04-30;21;112,8;1004,882011;23,537868;6,7;1,133219;
2018-05-31;17;58,4;1006,586996;21,842413;4,7;1,112659;
2018-06-30;13;32,6;1007,83586;21,450537;5,2;,983113;
2018-07-31;10;5,2;1008,178226;20,814113;4,1;,961022;
2018-08-31;9;37,6;1007,855067;22,066322;5,7;1,349696;
2018-09-30;7;13;1004,578647;23,342923;7,4;1,478098;
2018-10-31;17;77,2;1002,786694;24,71371;7,7;1,71707;
2018-11-30;18;139,2;1002,968919;24,641226;5,7;1,426824;
2018-12-31;14;329;1001,841667;25,439919;7,5;1,271505;
2019-01-31;7;6;1003,774866;27,251478;5;1,300403;
2019-02-28;7;69,2;1000,715179;27,976488;7,3;1,290625;
2019-03-31;7;56;1002,072511;27,092987;7,5;1,39955;
2019-04-30;13;33,2;1002,157222;26,539861;6,3;1,154167;
2019-05-31;7;40;1003,587903;24,561962;5,1;1,075538;
2019-06-30;12;12;1008,456111;22,38375;5,7;1,079028;
2019-07-31;11;15,8;1008,254032;21,029704;6,9;1,28293;
2019-08-31;7;24,4;1010,158598;21,615092;8,1;1,726879;
2019-09-30;8;24,8;1006,448472;24,172083;7,9;1,769028;
2019-10-31;11;45;1003,798253;25,250403;6,4;1,519624;
2019-11-30;19;215,6;1001,399464;25,021142;7,5;1,388899;
2019-12-31;16;114,6;1001,841532;25,919893;6,4;1,405645;
2020-01-31;15;249,4;1000,015323;26,672312;6,9;1,268011;
2020-02-29;14;150,6;1001,820384;26,637875;6,7;1,143172;
2020-03-31;22;203,6;1002,549176;24,853682;5,9;1,167941;
2020-04-30;11;31,2;1004,271667;24,025694;5,9;1,231528;
