Nome: SILVA JARDIM
Codigo Estacao: A659
Latitude: -22.64583333
Longitude: -42.41555555
Altitude: 19
Situacao: Operante
Data Inicial: 2015-08-27
Data Final: 2023-10-11
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2015-08-31;null;null;null;null;null;null;
2015-09-30;15;126;1012,797341;22,889266;5,6;1,28114;
2015-10-31;14;75,4;1013,735244;23,724988;5,9;1,590077;
2015-11-30;18;210,4;1010,004583;25,0775;6,5;1,363593;
2015-12-31;14;103,4;1010,956452;26,831048;5,5;1,499194;
2016-01-31;19;385;1009,927554;25,852823;4,8;1,33172;
2016-02-29;13;214,2;1010,974282;27,015086;5;1,261063;
2016-03-31;16;395,2;1012,900806;26,034274;5,4;1,098253;
2016-04-30;5;43,2;1012,8275;25,126667;5,4;1,120694;
2016-05-31;11;46,2;1016,328495;21,592473;5;1,065323;
2016-06-30;13;52,4;1019,049167;19,062222;4,3;1,123333;
2016-07-31;7;4,8;1017,82379;20,099597;5,3;1,17621;
2016-08-31;10;12,2;1016,421774;20,880645;6,9;1,5;
2016-09-30;10;53,6;1016,02375;22,100694;5,5;1,487083;
2016-10-31;17;86,2;1013,429839;22,955914;6,9;1,803898;
2016-11-30;16;278;1011,569306;23,695694;6,1;1,764444;
2016-12-31;16;178;1010,486559;25,458871;6,3;1,399597;
2017-01-31;12;245,4;1010,320161;27,126747;5,4;1,439113;
2017-02-28;12;104;1011,283184;26,824107;5,6;1,69747;
2017-03-31;4;null;null;null;4,9;null;
2017-04-30;12;null;null;22,274537;4,7;null;
2017-05-31;15;89,4;1015,532527;21,061828;5,3;1,267204;
2017-06-30;18;96,8;1017,75625;20,385417;4,3;,924028;
2017-07-31;16;38;1023,566532;18,752823;5,4;1,29664;
2017-08-31;14;51,6;1017,766667;19,450538;6,2;1,309005;
2017-09-30;2;3,6;1018,169855;22,135942;6,2;1,973998;
2017-10-31;11;65,6;1012,500134;24,320699;5,7;1,713844;
2017-11-30;14;148,4;1010,969444;23,569306;5,8;1,606528;
2017-12-31;17;113,2;1009,920296;25,077419;5;1,402151;
2018-01-31;15;220,4;1010,112769;26,192876;5;1,260618;
2018-02-28;15;null;null;25,386553;4,2;null;
2018-03-31;8;null;null;25,874123;4,7;null;
2018-04-30;14;129,8;1015,600556;23,615555;3,6;1,029837;
2018-05-31;14;90;null;21,200269;6;,986694;
2018-06-30;16;24;1017,63559;20,498194;4,1;,909722;
2018-07-31;15;27,6;1017,295564;20,498253;4,8;,939382;
2018-08-31;16;87,6;null;20,236425;4,8;1,147581;
2018-09-30;10;53,4;null;22,216389;5,6;1,325694;
2018-10-31;18;152;null;23,245027;5,1;1,548521;
2018-11-30;13;293,8;1012,398889;24,11875;5,1;1,581389;
2018-12-31;17;207,8;1011,061559;25,305107;5,9;1,25793;
2019-01-31;7;45,8;1011,746774;27,888172;5,1;1,435081;
2019-02-28;15;279;1010,045089;26,40372;4,6;1,125893;
2019-03-31;20;249,6;1012,389785;25,582796;4,7;1,13293;
2019-04-30;14;188,2;1011,991111;24,787639;5,7;1,040278;
2019-05-31;14;252,6;1013,562097;23,215054;3,7;,985081;
2019-06-30;17;37,6;1018,187361;21,523611;4,2;,948611;
2019-07-31;10;39;1018,14664;19,41707;4,7;1,22285;
2019-08-31;17;54,8;1020,357393;19,746237;6;1,226882;
2019-09-30;13;126,6;1015,869028;21,987083;5,1;1,502361;
2019-10-31;13;59;1013,054704;23,905376;5,8;1,515457;
2019-11-30;17;212,6;1011,530417;23,680139;5,4;1,62;
2019-12-31;14;176,4;1010,881317;25,144624;7,3;1,510887;
2020-01-31;16;347,8;1009,14422;25,727688;4,8;1,148925;
2020-02-29;18;424,8;1011,217816;25,383477;4,4;1,202442;
2020-03-31;14;386,6;null;24,090591;4,4;1,152016;
2020-04-30;12;64,8;null;22,76125;4,3;1,087083;
2020-05-31;17;106,6;null;20,208602;5,2;1,00336;
2020-06-30;15;33;null;20,907083;4,5;,982083;
2020-07-31;9;38,6;1017,257258;20,280376;4,8;1,015726;
